,questions,answers
52,Как мне делать прогнозы?,"Первым шагом к прогнозированию является разработка окончательной версии выбранной вами модели и конфигурации модели, обученной на всех доступных данных. Узнайте больше об этом здесь:

Как обучить окончательную модель машинного обучения

Вы захотите сохранить обученную модель в файл для дальнейшего использования. Затем вы можете загрузить его и начать делать прогнозы на основе новых данных.
Большинство API-интерфейсов моделирования предоставляют функцию predic (), которая принимает одну строку данных или массив / список строк данных в качестве входных данных для вашей модели и для которой ваша модель будет генерировать прогноз.
Некоторые примеры прогнозирования окончательных моделей с использованием стандартных библиотек см. В публикациях:

Как делать прогнозы с помощью scikit-learn?
Как делать прогнозы с Керасом?
Как делать прогнозы с помощью моделей долгосрочной краткосрочной памяти в Керасе
Как делать прогнозы вне выборки с ARIMA в Python"
53,Как смоделировать обнаружение аномалии?,"Аномалия - это пример, который не соответствует остальным данным.
Это исключение, выброс, аномалия и т. Д.
Обнаружение аномалий - обширная область исследований, и я надеюсь написать о ней больше в будущем. Рекомендую проверить литературу.
Можно рассматривать аномалии как выбросы и обнаруживать их с помощью статистических методов или так называемых методов одноклассовой классификации.
Подробнее о статистических методах обнаружения выбросов см. В руководстве:

Как удалить выбросы для машинного обучения

Дополнительные сведения о подходах к автоматическому обнаружению выбросов на основе моделей см. В руководстве:

4 алгоритма автоматического обнаружения выбросов в Python

Данные временных рядов могут содержать выбросы.
Опять же, существуют специальные методы для обнаружения данных временных рядов с выбросами, и я надеюсь написать о них в будущем. Рекомендую проверить литературу.
Для обнаружения выбросов во временных рядах можно использовать статистические методы. Также можно рассматривать обнаружение выбросов во временных рядах как задачу классификации временных рядов. Входными данными для модели будет последовательность наблюдений, а целью будет определение того, содержит ли входная последовательность выброс.
Могут использоваться классификационные модели машинного обучения, а также модели нейронных сетей с глубоким обучением, такие как MLP, CNN, LSTM и гибридные модели.
Чтобы узнать больше об использовании моделей глубокого обучения для классификации временных рядов, вы можете увидеть примеры, перечисленные здесь:

Учебники по глубокому обучению для прогнозирования временных рядов"
54,Как подготовить данные для LSTM?,"LSTM ожидает, что данные будут предоставлены в виде трехмерного массива с размерами [образцы, временные шаги, особенности].
Узнайте больше о том, как изменить форму данных в этом руководстве:

Как изменить форму входных данных для сетей с долговременной краткосрочной памятью в Keras

Для многоразовой функции, которую вы можете использовать для преобразования одномерного или многомерного набора данных временных рядов в проблему контролируемого обучения (полезно для подготовки данных для LSTM), см. Сообщение:

Как преобразовать временной ряд в задачу контролируемого обучения в Python

Если у вас есть длинный временной ряд, который вы хотите изменить для LSTM, см. Это руководство:

Как подготовить данные одномерных временных рядов для сетей с долговременной краткосрочной памятью

Если в вашей последовательности отсутствуют данные, см. Руководство:

Как обрабатывать пропущенные временные шаги в задачах прогнозирования последовательности с помощью Python

Если у вас много временных шагов и вы ищете идеи о том, как разделить данные, см. Руководства:

Как обрабатывать очень длинные последовательности с помощью рекуррентных нейронных сетей с кратковременной памятью
Как подготовить прогноз последовательности для усеченного обратного распространения во времени в Керасе"
55,Как запустить сценарий из командной строки?,"Командная строка - это приглашение, когда вы можете вводить команды для их выполнения.
Это может называться по-разному в зависимости от вашей платформы, например:

Терминал (linux и macos)
Командная строка (windows)

Я рекомендую запускать скрипты из командной строки, если вы новичок.
Это означает, что сначала вы должны сохранить свой сценарий в файл с соответствующим расширением в каталоге.
Например, мы можем сохранить сценарий Python с расширением .py в каталоге / code. Полный путь будет:









/code/myscript.py




1

/code/myscript.py





Чтобы запустить сценарий, сначала откройте командную строку или терминал.
Измените каталог на место, где вы сохранили скрипт.
Например, если вы сохранили сценарий в / code, введите:









cd / код




1

cd / код





Используйте интерпретатор языка для запуска скрипта.
Например, в Python интерпретатором является «python», и вы должны запустить свой скрипт как:









python myscript.py




1

python myscript.py





Если сценарий зависит от файла данных, файл данных часто должен находиться в том же каталоге, что и код.
Например:









/code/mydata.csv




1

/code/mydata.csv






"
56,Как самостоятельно изучить машинное обучение?,"Я твердо верю, что самообучение - это путь к началу и совершенствованию прикладного машинного обучения.
Я посвятил этот сайт, чтобы помочь вам с самостоятельным обучением на пути к овладению машинным обучением (отсюда и название сайта).
Я преподаю подход к машинному обучению, отличный от того, как его преподают в университетах и ​​учебниках. Я называю этот подход нисходящим и ориентированным на результат. Вы можете узнать больше об этом подходе здесь:

Как начать работу с машинным обучением

Вам не нужна степень, чтобы начать работу, изучить машинное обучение или даже получить работу, применяющую машинное обучение и повышающую ценность бизнеса. Подробнее об этом я пишу здесь:

Что делать, если у меня нет степени

Большая часть успешной учебы в школе, особенно при получении высшего образования, - это взлом вашей собственной мотивации. Этому и той уверенности, которую это дает, я научился в университете.
Вы должны научиться выполнять работу, даже когда вам этого не хочется, даже когда ставки низкие, даже когда работа скучна. Это часть учебного процесса. Это называется мета-обучением или обучением эффективному обучению. Вы учитесь, а не люди в целом.
Изучение того, как вы учитесь эффективно, является важной частью самостоятельного обучения.

Найдите и используйте то, что вас мотивирует.
Найдите и используйте средства, которые помогут вам лучше учиться.
Найдите и слушайте учителей и материалы, которые вам очень нравятся.

Внешние мотиваторы, такие как получение тренера или ответственного партнера, кажутся мне краткосрочными. Вы хотите решить «научиться самообучаться» таким образом, чтобы у вас были умственные инструменты на всю оставшуюся жизнь.
Большая проблема с самостоятельным обучением состоит в том, что оно основано на любопытстве. Это означает, что вы, скорее всего, будете переходить от темы к теме из-за своей прихоти. Это также дает большое преимущество, потому что вы читаете широко и глубоко в зависимости от ваших интересов, что делает вас полуэкспертом по разным темам.
Подход, которому я учу, чтобы не сбиться с пути, называется «небольшие проекты».
Вы разрабатываете проект, который занимает определенное время и имеет определенную конечную точку, например, несколько человеко-часов и отчет, сообщение в блоге или пример кода. Эти проекты невелики по объему, имеют четкую конечную точку и в конечном итоге приводят к рабочему продукту, который можно добавить в портфолио или базу знаний, которую вы создаете.
Затем вы повторяете процесс разработки и выполнения небольших проектов. Проекты могут быть посвящены интересной теме, например «Глубокое обучение для НЛП», или вопросам, которые у вас возникают в процессе «Как вы используете SVM в scikit-learn?».
Подробнее об этом подходе к самообучению я пишу здесь:

Руководство по машинному обучению для самообучения
4 проекта самообучения по машинному обучению
Создайте портфель машинного обучения

Следующий вопрос, который я задаю:

У вас есть примеры портфолио или небольших проектов?

Да, они везде, ищите машинное обучение на GitHub, YouTube, блогах и т. Д.
Так люди учатся. Возможно, вы даже уже используете эту стратегию, только менее систематически.

Вы можете рассматривать каждую лекцию в курсе как небольшой проект, хотя зачастую и плохо продуманный.
Вы можете рассматривать каждый вызов API для метода в библиотеке с открытым исходным кодом как небольшой проект.
Вы можете думать о моем блоге как о каталоге небольших проектов.

Не зацикливайтесь на том, что делают другие.
Выберите среду, которая вам больше всего подходит, и создайте собственную базу знаний. Это тебе помни. Его использование в интервью - это побочная выгода, а не цель."
57,Как мне ускорить обучение моей модели?,"Обучение моделей машинного обучения может быть медленным по ряду причин.
Это означает, что у них может быть много возможностей ускорить их обучение.
Вот некоторые общие идеи:

Попробуйте обучить свою модель на более быстрой машине (например, на экземпляре AWS EC2 и т. Д.)
Попробуйте использовать меньше обучающих данных (например, случайная выборка, неполная выборка и т. Д.)
Попробуйте использовать модель меньшего размера (например, меньше слоев, несколько членов ансамбля и т. Д.)
Попробуйте использовать более эффективную реализацию (например, другой проект с открытым исходным кодом и т. Д.)

Прежде чем сказать «Я не могу», хорошенько подумайте и сделайте домашнее задание.

Возможно, вы можете использовать бесплатные кредиты на облачной платформе (спросите).
Возможно, ваша модель менее чувствительна к размеру обучающего набора данных, чем вы думаете (проверьте это).
Может быть, модель меньшего размера будет работать с небольшой потерей навыков (попробуйте).
Возможно, менее известная реализация работает намного быстрее, чем обычные библиотеки (попробуйте).

Кроме того, некоторые алгоритмы машинного обучения могут ускорить свое обучение, в частности, за счет изменений гиперпараметров или архитектуры модели.

Скорость обучения на многих алгоритмах контролирует скорость обучения и, следовательно, обучения.
Размер пакета в градиентных алгоритмах также влияет на скорость обучения.
Слои нейронной сети, такие как пакетная нормализация, могут значительно ускорить обучение.
Масштабирование входных данных может значительно упростить многие задачи прогнозирования.

"
58,Как использовать перекрестную проверку для прогнозирования временных рядов?,"Как правило, вы не можете использовать k-кратную перекрестную проверку для оценки навыков модели для прогнозирования временных рядов.
Метод k-кратной перекрестной проверки будет случайным образом перемешивать наблюдения, что приведет к потере временной зависимости в данных, например упорядочение наблюдений по времени. Модель больше не сможет узнать, как предыдущие временные шаги влияют на текущий временной шаг. Наконец, оценка будет несправедливой, поскольку модель сможет обмануть, имея возможность заглядывать в прошлые и будущие наблюдения.
Рекомендуемый метод оценки навыков модели для прогнозирования временных рядов - использовать пошаговую проверку.
Вы можете узнать больше о пошаговой проверке в этом посте:

Как тестировать модели машинного обучения для прогнозирования временных рядов

У меня также есть много сообщений, которые демонстрируют, как использовать этот метод, поискать на сайте."
59,Как использовать раннюю остановку с k-кратной перекрестной проверкой или поиском по сетке?,"Ранняя остановка - это метод регуляризации, используемый итеративными алгоритмами машинного обучения, такими как нейронные сети и повышение градиента.
Это снижает вероятность переобучения модели обучающими данными за счет мониторинга производительности модели во время обучения на наборе данных проверки и остановки обучения, как только производительность начинает ухудшаться.
Подробнее о ранней остановке см. В руководстве:

Мягкое введение в раннюю остановку, чтобы избежать перетренированности нейронных сетей

Перекрестная проверка k-Fold - это метод повторной выборки, используемый для оценки производительности прогнозной модели.
Он работает, разбивая набор обучающих данных на k неперекрывающихся сверток, затем используя одну свертку в качестве удерживаемого тестового набора данных, а все остальные свертки - как набор обучающих данных. Процесс повторяется, и средняя производительность моделей на всех удерживаемых складках используется в качестве оценки производительности модели при прогнозировании данных, не видимых во время обучения.
Подробнее о k-кратной перекрестной проверке см. В руководстве:

Нежное введение в k-кратную перекрестную проверку

Использование ранней остановки с k-кратной перекрестной проверкой может быть непросто.
Это требует, чтобы каждый обучающий набор в каждом прогоне перекрестной проверки был дополнительно разделен на часть набора данных, чтобы соответствовать модели, и часть набора данных для использования путем ранней остановки для мониторинга процесса обучения.
Для этого может потребоваться запустить процесс перекрестной проверки в k-кратном размере вручную в цикле for, чтобы можно было дополнительно разделить обучающую часть и настроить раннюю остановку. Это была бы моя общая рекомендация предоставить вам полный контроль над процессом.
Поиск по сетке - это разновидность настройки гиперпараметров модели.
Он включает в себя определение сетки значений гиперпараметров для рассмотрения и оценку модели для каждого по очереди с использованием метода повторной выборки, такого как k-кратная перекрестная проверка. Комбинация гиперпараметров, обеспечивающая лучшую производительность, может быть выбрана моделью.
Использование ранней остановки с поиском по сетке также может быть сложной задачей.
Один из подходов может заключаться в том, чтобы запускать раннюю остановку для обучающего набора данных несколько раз или с различными разделениями набора данных на обучающие / проверочные наборы и использовать среднее количество итераций или эпох, выполненных как фиксированный гиперпараметр, когда сетки ищут другие гиперпараметры.
Другой подход - рассматривать модель с ранней остановкой как конвейер моделирования и искать по сетке другие гиперпараметры непосредственно в этом конвейере. Это предполагает, что вы можете разделить обучающий набор на подмножество для подгонки модели и подмножество для ранней остановки в рамках поиска по сетке, для чего может потребоваться специальный код."
60,Как пользоваться ансамблями?,"Ансамбли - это класс методов машинного обучения, который объединяет прогнозы из двух или более других моделей машинного обучения.
Есть много типов ансамблевых методов машинного обучения, таких как:

Сложное обобщение (наложение или смешивание)
Голосование
Bootstrap Aggregation (упаковка)
Повышение (например, AdaBoost)
Стохастическое повышение градиента (например, xgboost)
Случайный лес
И многое другое…

Вы можете узнать больше о методах ансамбля в целом здесь:

Алгоритмы бэггинга и ансамбля случайных лесов для машинного обучения

Вы можете научиться кодировать эти методы с нуля, что может быть интересным способом узнать, как они работают:

Как реализовать составное обобщение с нуля с помощью Python
Как реализовать случайный лес с нуля на Python

Вы можете использовать методы ансамбля со стандартными платформами машинного обучения, например:

Алгоритмы ансамблевого машинного обучения на Python с помощью scikit-learn
Как использовать алгоритмы ансамблевого машинного обучения в Weka
Как создать ансамбль алгоритмов машинного обучения на R

Многие исследования показали, что ансамблевые методы достигают наилучших результатов при усреднении по множественным задачам прогнозного моделирования типа классификации и регрессии. Например:

Использовать случайный лес: тестирование 179 классификаторов на 121 наборе данных
Начните с повышения градиента, результаты сравнения 13 алгоритмов на 165 наборах данных

Вы также можете получить отличные результаты с помощью современных реализаций ансамблевых методов, таких как библиотека XGBoost, которая часто используется для победы в соревнованиях по машинному обучению.
Вы можете начать работу с XGBoost здесь:

Начните работу с XGBoost в Python"
61,Как использовать LSTM для многоэтапного прогнозирования временных рядов?,"LSTM и другие типы нейронных сетей могут использоваться для многошагового прогнозирования наборов данных временных рядов.
Чтобы начать использовать методы глубокого обучения (MLP, CNN и LSTM) для прогнозирования временных рядов, начните здесь:

Начните здесь: глубокое обучение для прогнозирования временных рядов

Конкретное руководство по использованию LSTM для прогнозирования временных рядов, включая многоэтапное прогнозирование, см. В этом сообщении:

Как разработать модели LSTM для прогнозирования временных рядов

Для конкретного учебника по LSTM, применяемого к многомерной задаче ввода и многоэтапного прогноза, см. Этот учебник:

Как разработать модели LSTM для многоэтапного прогнозирования энергопотребления домашних хозяйств по временным рядам

Для получения дополнительной помощи по стратегиям многоэтапного прогнозирования в целом см. Сообщение:

4 стратегии для многоступенчатого прогнозирования временных рядов"
62,Как использовать LSTM для прогнозирования временных рядов?,"Вы можете начать использовать такие методы глубокого обучения, как MLP, CNN и LSTM для одномерного, многомерного и многоэтапного прогнозирования временных рядов здесь:

Глубокое обучение для прогнозирования временных рядов

"
63,Как мне работать над проектом прогнозного моделирования?,"У меня есть процесс, рекомендуемый при работе над новым проектом прогнозного моделирования, который поможет вам систематически работать над вашим проектом.
Вы можете прочитать об этом здесь:

Прикладной процесс машинного обучения

Я надеюсь, что это поможет для начала."
64,Как мне работать с очень большим набором данных?,"Обычно я рекомендую работать с небольшой выборкой вашего набора данных, которая уместится в памяти.
Я рекомендую это, потому что это ускорит темп, с которым вы узнаете о своей проблеме:

Можно быстро протестировать различные постановки проблемы.
Обобщить и построить данные можно быстро.
Можно быстро протестировать различные методы подготовки данных.
Тестировать разные типы моделей быстро.
Тестирование различных конфигураций моделей выполняется быстро.

Уроки, которые вы усваиваете с меньшей выборкой, часто (но не всегда) переносятся на моделирование с большим набором данных.
Затем вы можете масштабировать свою модель позже, чтобы использовать весь набор данных, возможно, обученный в облачной инфраструктуре, такой как Amazon EC2.
Есть также много других вариантов, если вы заинтересованы в обучении с большим набором данных. В этом посте я перечисляю 7 идей:

7 способов обработки больших файлов данных для машинного обучения"
65,Как работает k-кратная перекрестная проверка?,"Метод k-кратной перекрестной проверки используется для оценки навыков модели при прогнозировании новых данных.
Это метод повторной выборки, который позволяет эффективно использовать ваш небольшой набор обучающих данных для оценки модели.
Он работает, сначала разбивая ваш набор обучающих данных на k групп одинакового размера. Модель обучается во всех этих группах, кроме одной, а затем оценивается в удерживаемой группе. Этот процесс повторяется, так что каждой из k подгрупп набора обучающих данных дается возможность использовать в качестве набора для проверки удержания.
Это означает, что k-кратная перекрестная проверка будет обучать и оценивать k моделей и давать вам k оценок навыков (например, точность или ошибка). Затем вы можете рассчитать среднее и стандартное отклонение этих оценок, чтобы получить статистическое представление о том, насколько хорошо модель работает с вашими данными.
Вы можете узнать больше о том, как работает k-кратная перекрестная проверка здесь:

Нежное введение в k-кратную перекрестную проверку

Вы можете узнать больше о том, как реализовать k-кратную перекрестную проверку в этих сообщениях:

Как создать систему тестирования алгоритмов с нуля с помощью Python
Как реализовать методы передискретизации с нуля в Python
Оцените производительность алгоритмов машинного обучения в Python с помощью повторной выборки
Как оценить точность модели в R с помощью пакета Caret
Как выбрать правильные параметры тестирования при оценке алгоритмов машинного обучения

Модели, созданные в ходе k-кратной перекрестной проверки, отбрасываются. Когда вы выбираете модель и набор параметров, вы можете обучить окончательную модель, используя весь обучающий набор данных.
Узнайте больше об обучении финальных моделей здесь:

Как обучить окончательную модель машинного обучения"
66,Как данные обрабатываются LSTM?,"Рассмотрим уровень LSTM.









...
LSTM (10; input_shape = (100; 1))
...




123

... LSTM (10, input_shape = (100, 1)) ...





Что мы знаем об этом ванильном слое LSTM:

Слой имеет несколько узлов или единиц (например, 10).
Слой получит входную последовательность (например, 100 шагов с 1 функцией в каждой).
Будет выведен вектор (например, 10 элементов).

Как слой обрабатывает входную последовательность?
Каждый узел в слое похож на мини-сеть. Каждый узел подвергается входной последовательности и производит выходные. Это самая большая путаница для новичков, и это означает, что количество узлов в слое не связано с количеством временных шагов во входной последовательности.
Входная последовательность обрабатывается по одному временному шагу за раз. Мы можем предоставить всю входную последовательность на уровень через API из соображений эффективности, или мы можем предоставить входную последовательность в режим пошагово, так называемую динамическую RNN, что менее эффективно, но более гибко. Первый вариант более распространен, и я использую его почти во всех своих уроках.
Каждый шаг ввода для узла приводит к выходу и внутреннему состоянию. Оба используются при обработке последующего временного шага и удерживаются внутри слоя. По умолчанию только последний вывод из конца последовательности является фактическим выводом, предоставляемым узлом. Это может быть изменено, чтобы возвращать вывод каждого временного шага ввода (например, установка return_sequence = True) и должна быть изменена для этого при наложении слоев LSTM.
Тем не менее, по умолчанию каждый узел в слое выводит одно значение после обработки последовательности. Таким образом, количество узлов в слое определяет количество элементов в векторном выводе слоя."
67,Сколько слоев и узлов мне нужно в нейронной сети?,"Больше узлов и слоев означает больше возможностей для обучения сети, но в результате получается модель, которую сложнее и медленнее обучать.
Вы должны найти правильный баланс пропускной способности сети и обучаемости для решения вашей конкретной проблемы.
Не существует надежного аналитического способа расчета количества узлов или количества слоев, необходимых в нейронной сети для конкретной задачи прогнозного моделирования.
Мое общее предложение - поэкспериментировать, чтобы выяснить, какая конфигурация лучше всего подходит для вашей проблемы.
В этом посте есть советы по систематической оценке моделей нейронных сетей:

Как оценить навыки моделей глубокого обучения

Некоторые дополнительные идеи включают:

Используйте интуицию о предметной области или о том, как настроить нейронные сети.
Используйте глубокие сети, поскольку эмпирически было показано, что более глубокие сети лучше справляются с серьезными проблемами.
Используйте идеи из литературы, например, опубликованные статьи о задачах прогнозирования, аналогичных вашей проблеме.
Используйте поиск в сетевых конфигурациях, например случайный поиск, поиск по сетке, эвристический поиск или полный поиск.
Используйте эвристические методы для настройки сети, существуют сотни опубликованных методов, ни один из них не кажется мне надежным.

Больше информации здесь:

Как настроить количество слоев и узлов в нейронной сети

Независимо от выбранной вами конфигурации, вы должны тщательно и систематически оценивать конфигурацию модели в вашем наборе данных и сравнивать ее с базовым методом, чтобы продемонстрировать навыки."
68,Сколько тренировочных данных мне нужно?,"Необходимый объем обучающих данных зависит как от сложности вашей проблемы, так и от сложности выбранного вами алгоритма.
Я даю исчерпывающий ответ на этот вопрос в следующем посте:

Сколько обучающих данных требуется для машинного обучения?"
69,Как разработать модели прогнозов для нескольких сайтов?,"Существуют проблемы прогнозирования временных рядов, когда у вас могут быть данные с нескольких сайтов.
Например, прогноз температуры для нескольких городов.
Мы можем думать об этом как о прогнозировании временных рядов для нескольких участков.
Вот некоторые общие подходы, которые вы могли бы изучить для многосайтового прогнозирования:

Разработайте одну модель для каждого сайта.
Разработайте одну модель для каждой группы сайтов.
Разработайте одну модель для всех сайтов.
Гибрид вышеперечисленного.
Ансамбль из вышеперечисленных.

Может быть неясно, какой подход лучше всего подходит для вашей проблемы. Я рекомендую создать несколько различных подходов, чтобы определить, что лучше всего подходит для вашего конкретного набора данных."
