questions,answers
aDo you have examples of the Restricted Boltzmann Machine (RBM)?,"I do not have examples of Restricted Boltzmann Machine (RBM) neural networks.
This is a type of neural network that was popular in the 2000s and was one of the first methods to be referred to as “deep learning”.
These methods are, in general, no longer competitive and their use is not recommended.
In their place I would recommend using deep Multilayer Perceptrons (MLPs) with the rectified linear activation function.
"
aDo you have material on big data?,"I generally do not have material on big data, or on the platforms used for big data (e.g. Spark, Hadoop, etc.).
Although, I do have the odd post on the topic, for example:

Hands on Big Data by Peter Norvig

I focus on teaching applied machine learning, mostly on small data.
For beginners, I recommend learning machine learning on small data first, before tackling machine learning on big data. I think that you can learn the processes and methods fast using small in-memory datasets. Learn more here:

Practice Machine Learning with Datasets from the UCI Machine Learning Repository

In practice, there are sufficient tools to load large datasets into memory or progressively from disk for training large models, such as large deep learning models. For example:

7 Ways to Handle Large Data Files for Machine Learning

We still require machine learning with big data. You are still working with a random sample, with all that this entails when it comes to approximating functions (the job of machine learning methods).
Further, machine learning on big data often requires specialized versions of standard machine learning algorithms that can operate at scale on the big-data platforms (e.g. see Mahout and Spark MLlib).
 
"
aDo you have material on time series in R?,"Sorry, I do not have material on time series forecasting in R.
I do have a book on time series in Python.
There are already some great books on time series forecast in R, for example, see this post:

Top Books on Time Series Forecasting With R

"
aDo you have tutorials in Octave or Matlab?,"I do not have tutorials in Octave or Matlab.
I believe Octave and Matlab are excellent platforms for learning how machine learning algorithms work in an academic setting.
I do not think that they are good platforms for applied machine learning in industry, which is the focus of my website.
"
aDo you have tutorials on AI or AGI?,"Sorry, I do not have tutorials on AI or AGI.
I focus on predictive modeling with supervised learning, and maybe a little unsupervised learning.
These are the areas of machine learning that the average developer may need to use “at work“.
For a good layman introduction to AI, I recommend:

Artificial Intelligence: A Guide for Thinking Humans, 2019.

For a good technical introduction to AI, I recommend:

Artificial Intelligence: A Modern Approach, 2009.

"
aDo you have tutorials on chatbots?,"Sorry, I don’t current have any tutorials on chatbots.
I may cover the topic in the future if there is significant demand.
I do have tutorials on preparing text data for modeling and modeling text problems with deep learning.
You can get started here:

Deep Learning for Natural Language Processing

"
aDo you have tutorials on deep learning in R?,"Sorry, I do not have tutorials on deep learning in R.
I have focused my deep learning tutorials on the Keras library in Python.
The main reason for this, is that skills in machine learning and deep learning in Python are in huge demand. You can learn more in this post:

Python is the Growing Platform for Applied Machine Learning

I believe Keras is now supported in R, and perhaps much of the library has the same API function calls and arguments.
You may be able to port my Python-based tutorials to R with little effort.
"
aDo you have tutorials on deep reinforcement learning?,"Sorry, I don’t currently have any tutorials on deep reinforcement learning.
I may write about the topic in the future.
At this stage, I am focused on predictive modeling with supervised learning, and maybe a little unsupervised learning.
I am not convinced that deep reinforcement learning is useful to the average developer working on predictive modeling problems “at work“.
The results are remarkable but might currently be limited to boardgames (Go, Shogi, Chess, etc.) and video games (Atari, Quake3, StarCraft II, DOTA2, etc.).
Some recommended reading on DeepMind’s and OpenAI’s impressive results:

Human Level Control Through Deep Reinforcement Learning, 2015.
Mastering the game of Go with deep neural networks and tree search, 2016.
Mastering the game of Go without human knowledge, 2017.
A general reinforcement learning algorithm that masters chess, shogi, and Go through self-play, 2018.
Human-level performance in 3D multiplayer games with population-based reinforcement learning, 2019.
Grandmaster level in StarCraft II using multi-agent reinforcement learning, 2019.
Dota 2 with Large Scale Deep Reinforcement Learning, 2019.

Some skeptical comments:

Deep Reinforcement Learning Doesn’t Work Yet, 2018.
Reinforcement Learning never worked, and ‘deep’ only helped a bit, 2018.
Deep Reinforcement Learning is a waste of time, 2019.

"
aHow are “Artificial Intelligence” and “Machine Learning” related?,"Machine Learning or ML is the study of systems that can learn from experience (e.g. data that describes the past). You can learn more about the definition of machine learning in this post:

What is Machine Learning?

Predictive Modeling is a subfield of machine learning that is what most people mean when they talk about machine learning. It has to do with developing models from data with the goal of making predictions on new data. You can learn more about predictive modeling in this post:

Gentle Introduction to Predictive Modeling

Artificial Intelligence or AI is a subfield of computer science that focuses on developing intelligent systems, where intelligence is comprised of all types of aspects such as learning, memory, goals, and much more.
Machine Learning is a subfield of Artificial Intelligence.
"
aHow are “Big Data” and “Machine Learning” related?,"Machine learning is a subfield of computer science and artificial intelligence concerned with developing systems that learn from experience.
You can learn more about the definition of machine learning in this post:

What is Machine Learning?

When most people talk about machine learning, they really mean predictive modeling. That is, developing models trained on historical data used to make predictions on new data.
You can learn more about predictive modeling in this post:

Gentle Introduction to Predictive Modeling

Big data refers to very large datasets.
Big data involves methods and infrastructure for working with data that is too large to fit on a single computer, such as a single hard drive or in RAM.
An exciting aspect of big data is that simple statistical methods can reveal surprising insights, and simple models can produce surprising results when trained on big data. An example is the use of simple word frequencies prepared on a very big dataset instead of the use of sophisticated spelling correction algorithms. For some problems data can be more valuable than complex hand-crafted models. You can learn more about this here:

Hands on Big Data by Peter Norvig

Even so, a “big data” dataset is still a random sample, and can benefit from the methods from applied machine learning.
An important consideration when using machine learning on big data is that they often require modification to operate at the scale on infrastructure such as Hadoop and Spark.
Two examples of libraries of machine learning methods on big data include Mahout and Spark MLlib.
"
aHow are “Data Science” and “Machine Learning” related?,"Machine learning is a subfield of computer science and artificial intelligence concerned with developing systems that learn from experience.
You can learn more about the definition of machine learning in this post:

What is Machine Learning?

When most people talk about machine learning, they really mean predictive modeling. That is, developing models trained on historical data used to make predictions on new data.
You can learn more about predictive modeling in this post:

Gentle Introduction to Predictive Modeling

Data science is a new term that means using computational and scientific methods to learn from and harness data.
A data scientist is someone with skills in software development and machine learning who may be tasked with both discovering ways to better harness data within the organization toward decision making and developing models and systems to capitalize on those discoveries.
A data scientist uses the tools of machine learning, such as predictive modeling.
I have a few posts on data science here:

How to Become a Data Scientist
How To Work Through A Problem Like A Data Scientist
Evaluate Yourself As a Data Scientist

I generally try not to use the term “data science” or “data scientist” as I think they are ill defined. I prefer to focus on and describe the required skill of “applied machine learning” or “predictive modeling” that can be used in a range of roles within an organization.
There are many roles in an organization where machine learning may be used. For a fuller explanation, see the post:

Find Your Machine Learning Tribe

"
aHow are “Deep Learning” and “Machine Learning” related?,"Machine Learning or ML is the study of systems that can learn from experience (e.g. data that describes the past). You can learn more about the definition of machine learning in this post:

What is Machine Learning?

Predictive Modeling is a subfield of machine learning that is what most people mean when they talk about machine learning. It has to do with developing models from data with the goal of making predictions on new data. You can learn more about predictive modeling in this post:

Gentle Introduction to Predictive Modeling

Deep Learning is the application of artificial neural networks in machine learning. As such, it is a subfield of machine learning. You can learn more about deep learning in this post:

What is Deep Learning?

"
aHow are “Statistics” and “Machine Learning” related?,"There is a lot of overlap between statistics and machine learning.
We may explore predictive modeling in statistics. Machine learning may use methods developed and used in statistics, e.g. linear regression or logistic regression.
Statistics is mostly focused on understanding or explaining data. Models are designed be be descriptive an interpretable, to have goodness of fit. For more on statistics, see:

What is Statistics (and why is it important in machine learning)?

Machine learning is mostly focused on predictive skill. Models are chosen based on how well they make skillful predictions (and somewhat to maximize parsimony).  More on machine learning here:

What is Machine Learning?

Actually, practitioners talk about machine learning, but often mean a sub-filed called predictive modeling. More on predictive modeling here:

Gentle Introduction to Predictive Modeling

A good example that makes the differences clear is in statistics we start with the idea of using a linear regression or a logistic regression model then beat the data into shape to meet the expectations or requirements of our pre-chosen model. In machine learning, we are agnostic to the model and only care what works well or best, allowing us to explore a suite of different approaches.
For more information on this distinction, see:

The Close Relationship Between Applied Statistics and Machine Learning

"
aHow can I change a neural network from “regression” to “classification”?,"A neural network designed for a regression problem can easily be changed to classification.
It requires two changes to the code:

A change to the output layer.
A change to the loss function.

A neural network designed for regression will likely have an output layer with one node to output one value and a linear activation function, for example, in Keras this would be:



		
		
			
			
			
			
...
model.add(Dense(1, activation='linear'))
			
				
					
				
					12
				
						...model.add(Dense(1, activation='linear'))
					
				
			
		

We can change this to a binary classification problem (two classes) by changing the activation to sigmoid, for example:



		
		
			
			
			
			
...
model.add(Dense(1, activation='sigmoid'))
			
				
					
				
					12
				
						...model.add(Dense(1, activation='sigmoid'))
					
				
			
		

We can change this to a multi-class classification problem (more than two classes) by changing the number of nodes in the layer to the number of classes (e.g. 3 in this example) and the activation function to softmax, for example:



		
		
			
			
			
			
model.add(Dense(3, activation='softmax'))
			
				
					
				
					1
				
						model.add(Dense(3, activation='softmax'))
					
				
			
		

Finally, the model will have an error based loss function, such as ‘mse‘ or ‘mae‘, for example:



		
		
			
			
			
			
...
# compile model
model.compile(loss='mse', optimizer='adam')
			
				
					
				
					123
				
						...# compile modelmodel.compile(loss='mse', optimizer='adam')
					
				
			
		

We must change the loss function for a binary classification problem (two classes) to binary_crossentropy, for example:



		
		
			
			
			
			
...
# compile model
model.compile(loss='binary_crossentropy', optimizer='adam')
			
				
					
				
					123
				
						...# compile modelmodel.compile(loss='binary_crossentropy', optimizer='adam')
					
				
			
		

We must change the loss function for a multi-class classification problem (more than two classes) to categorical_crossentropy, for example:



		
		
			
			
			
			
...
# compile model
model.compile(loss='categorical_crossentropy', optimizer='adam')
			
				
					
				
					123
				
						...# compile modelmodel.compile(loss='categorical_crossentropy', optimizer='adam')
					
				
			
		

That is it.
Generally, I would recommend re-tuning the hyperparameters of the neural network for your specific predictive modeling problem.
For some examples of neural networks for classification, see the posts:

Develop Your First Neural Network in Python With Keras Step-By-Step
Multi-Class Classification Tutorial with the Keras Deep Learning Library

"
aHow can I run large models or models on lots of data?,"I recommend running large models or long-running experiments on a server.
I recommend only using your workstation for small experiments and for figuring out what large experiments to run. I talk more about this approach here:

Machine Learning Development Environment

I recommend using Amazon EC2 service as it provides access to Linux-based servers with lots of RAM, lots of CPU cores, and lots of GPU cores (for deep learning).
You can learn how to setup an EC2 instance for machine learning in these posts:

How To Develop and Evaluate Large Deep Learning Models with Keras on Amazon Web Services
How to Train XGBoost Models in the Cloud with Amazon Web Services

You can learn useful commands when working on the server instance in this post:

10 Command Line Recipes for Deep Learning on Amazon Web Services

"
aHow can I transform text into numbers for machine learning?,"Text must be converted to numbers before you can use it as input to a machine learning model.
The first step is to determine your vocabulary of words, then assign a unique integer to each word.
You control the complexity of your modeling task by controlling the size of the vocabulary of supported words. Words that are not supported by your chosen vocabulary can be mapped to the integer value 0, which stands for “unknown“.
This is generally referred to as cleaning text data, you can learn more about it here:

How to Clean Text for Machine Learning with Python

Documents of integer encoded words can then be encoded to a vector representation to be fed into a machine learning model.
There are many approaches to encoding documents and the general approach is referred to as a bag of words. Common encodings include boolean (word is present or not), count of words, frequency of words (TF-IDF), and more.
For more on the bag of words model, see the tutorial:

A Gentle Introduction to the Bag-of-Words Model

A more modern approach to encoding integer encoded documents is to use a word embedding, also referred to by one of the specific techniques called word2vec.
This encoding is commonly used with neural networks that take text, but it can be used with any machine learning model.
For more on word embeddings, see the tutorial:

What Are Word Embeddings for Text?

"
aHow can I use machine learning to model covid-19 data?,"I am not an expert in modeling Covid-19 data.
The fact the whole world is focused on the problem of the Covid-19 pandemic means some of the best modelers in the world are already working on this problem, and may make their data, models, and analysis available to the public directly. I recommend seeking out these sources.
If you are interested in modeling the number of cases per day for a location, a simple exponential function can be used, such as the GROWTH() function in excel.
"
aHow do algorithms learn?,"This is a deep question.
From a high-level, algorithms learn by generalizing from many historical examples, For example:
Inputs like this are usually come before outputs like that.
The generalization, e.g. the learned model, can then be used on new examples in the future to predict what is expected to happen or what the expected output will be.
Technically, we refer to this as induction or inductive decision making.
Also see this post:

Why Do Machine Learning Algorithms Work on Data That They Have Not Seen Before?

"
aHow do I apply machine learning to my domain or industry?,"This is an open question, but I have some ideas.
1) Perhaps you can formulate an existing problem from your industry as a supervised learning problem and see if machine learning algorithms can perform well or better than other methods.
This framework may help:

How to Define Your Machine Learning Problem

2) Perhaps you can search the literature for applications of machine learning to your domain to see what is common or popular and use that as inspiration or a starting point.
You can search the machine learning literature here:

Google Scholar Search

3) Perhaps you can search for datasets from your industry that you can use for inspiration or practice.
You can search for machine learning datasets here:

Google Dataset Search

"
aHow do I calculate accuracy for regression?,"You can’t.
Accuracy is a measure for classification.
You calculate the error for regression.
Learn more here:

Difference Between Classification and Regression in Machine Learning

"
aHow do I calculate classification accuracy for one class?,"Classification Accuracy is a performance metric for classification predictive modeling problems.
It is the percentage of correct predictions made by a model, calculated as the total number of correct predictions made divided by the total predictions that were made:

Failure of Classification Accuracy for Imbalanced Class Distributions

Classification accuracy cannot be calculated for one class. It can only be calculated for all predictions made by a model.
To get an idea of the types of class prediction errors made by a model, you may want to calculate a Confusion Matrix for all predictions made:

What is a Confusion Matrix in Machine Learning

Alternately, you might instead want to calculate the Precision and Recall for each class:

A Gentle Introduction to the Fbeta-Measure for Machine Learning

For more help on choosing a performance metric for classification problems, see the tutorial:

Tour of Evaluation Metrics for Imbalanced Classification

"
aHow do I check if I am overfitting?,"It is possible to overfit the training data.
This means that the model is learning the specific random variations in the training dataset at the cost of poor generalization of the model to new data.
This can be seen by improved skill of the model at making predictions on the training dataset and worse skill of the model at making predictions on the test dataset.
A good general approach to reducing the likelihood of overfitting the training dataset is to use k-fold cross-validation to estimate the skill of the model when making predictions on new data.
A second good general approach in addition to using k-fold cross-validation is to have a hold-out test set that is only used once at the end of your project to help choose between finalized models.
"
aHow do I check my Python library versions?,"Most Python libraries have a “__version__” attribute that you can query to get the current installed version.
For example, the script below can be used to print the version of many Python libraries used in machine learning:



		
		
			
			
			
			
# scipy
import scipy
print('scipy: %s' % scipy.__version__)
# numpy
import numpy
print('numpy: %s' % numpy.__version__)
# matplotlib
import matplotlib
print('matplotlib: %s' % matplotlib.__version__)
# pandas
import pandas
print('pandas: %s' % pandas.__version__)
# statsmodels
import statsmodels
print('statsmodels: %s' % statsmodels.__version__)
# scikit-learn
import sklearn
print('sklearn: %s' % sklearn.__version__)
# nltk
import nltk
print('nltk: %s' % nltk.__version__)
# gensim
import gensim
print('gensim: %s' % gensim.__version__)
# xgboost
import xgboost
print(""xgboost"", xgboost.__version__)
# tensorflow
import tensorflow
print('tensorflow: %s' % tensorflow.__version__)
# theano
import theano
print('theano: %s' % theano.__version__)
# keras
import keras
print('keras: %s' % keras.__version__)
			
				
					
				
					123456789101112131415161718192021222324252627282930313233343536
				
						# scipyimport scipyprint('scipy: %s' % scipy.__version__)# numpyimport numpyprint('numpy: %s' % numpy.__version__)# matplotlibimport matplotlibprint('matplotlib: %s' % matplotlib.__version__)# pandasimport pandasprint('pandas: %s' % pandas.__version__)# statsmodelsimport statsmodelsprint('statsmodels: %s' % statsmodels.__version__)# scikit-learnimport sklearnprint('sklearn: %s' % sklearn.__version__)# nltkimport nltkprint('nltk: %s' % nltk.__version__)# gensimimport gensimprint('gensim: %s' % gensim.__version__)# xgboostimport xgboostprint(""xgboost"", xgboost.__version__)# tensorflowimport tensorflowprint('tensorflow: %s' % tensorflow.__version__)# theanoimport theanoprint('theano: %s' % theano.__version__)# kerasimport kerasprint('keras: %s' % keras.__version__)
					
				
			
		

Running this script will print the version numbers.
For example, you may see results like the following:



		
		
			
			
			
			
scipy: 1.0.1
numpy: 1.14.2
matplotlib: 2.2.2
pandas: 0.22.0
statsmodels: 0.8.0
sklearn: 0.19.1
nltk: 3.2.5
gensim: 3.4.0
xgboost 0.6
tensorflow: 1.7.0
theano: 1.0.1
keras: 2.1.5
			
				
					
				
					123456789101112
				
						scipy: 1.0.1numpy: 1.14.2matplotlib: 2.2.2pandas: 0.22.0statsmodels: 0.8.0sklearn: 0.19.1nltk: 3.2.5gensim: 3.4.0xgboost 0.6tensorflow: 1.7.0theano: 1.0.1keras: 2.1.5
					
				
			
		


"
aHow do I check my Python version?,"You can discover what version of Python you are using by typing a command line.
On the command line, type:



		
		
			
			
			
			
python -V
			
				
					
				
					1
				
						python -V
					
				
			
		

You should then see the Python version printed.
For example, you may see something like:



		
		
			
			
			
			
Python 3.6.5
			
				
					
				
					1
				
						Python 3.6.5
					
				
			
		


"
aHow do I define the input layer in Keras?,"The Keras deep learning library allows you to define the input layer on the same line as the first hidden layer of the network.
This can be confusing for beginners as you might expect one line of code for each network layer including the input layer.
Let’s make this concrete with an example.
Imagine this was the first line in a defined neural network:



		
		
			
			
			
			
...
model.add(Dense(12, input_dim=8))
...
			
				
					
				
					123
				
						...model.add(Dense(12, input_dim=8))...
					
				
			
		

In this case the input layer for the network is defined by the “input_dim” argument and the network expects 8 input variables. This means that your dataset (X) must have 8 columns.
The first hidden layer of the network will have 8 nodes, defined by the first argument to the Dense() layer.
"
aHow do I deploy my python file as an application?,"This sounds like an engineering question, not a machine learning question.
If you need help deploying a machine learning model, I have some general tips here that may help:

How To Deploy Your Predictive Model To Production

Making an application depends on the requirements of the project, such as who is it for, who will be operating the application, in what environment, etc.
The engineering question of how to deploy a python file to an operational environment is not the focus of this website, but I may have some suggestions to help get you started:
Distribute as Python Package
Perhaps you want to distribute your code as a Python package that can be installed on other systems, if so, this may help:

Python Packaging User Guide

Make Available as Web API
Perhaps you want to make your code available via a web API, if so this may help:

Flask

Standalone Executable
Perhaps you want to embed your code within a standalone executable, if so this may help:

PyInstaller

Embedded in Application
Perhaps you want to embed your code within an existing application if so, you will need to coordinate with the developers of the existing application.
"
aHow do I evaluate a clustering algorithm?,"Clustering algorithms are a type of unsupervised machine learning algorithm that automatically discover natural groupings in data.
For examples of how to use clustering, see the tutorial:

10 Clustering Algorithms With Python

There are many ways to evaluate the performance of a clustering algorithm on a dataset based on the clusters that were discovered.
A good starting point is to think about how you want to use the clusters in your application or project and then use that to frame or think about metrics that you can use to evaluate clusters that were discovered.
There are standard metrics that you can use to evaluate clusters that were discovered and most are based around the idea that you have a dataset where you already know what clusters should have been discovered.
The scikit-learn Python machine learning library provides a number of standard clustering evaluation metrics, you can learn more about them here:

Clustering Metrics Scikit-Learn API.
Clustering Performance Evaluation, Scikit-Learn User Guide.

"
aHow do I evaluate a machine learning algorithm?,"You can evaluate a machine learning algorithm on your specific predictive modleing problem.
I assume that you have already collected a dataset of observations from your problem domain.
Your objective is to estimate the skill of a model trained on a dataset of a given size by making predictions on a new test dataset of a given size. Importantly, the test set must contain observations not seen during training. This is so that we get a fair idea of how the model will perform when making predictions on new data.
The size of the train and test datasets should be sufficiently large to be representative of the problem domain. You can learn more about how much data is required in this post:

How Much Training Data is Required for Machine Learning?

A simple way to estimate the skill of the model is to split your dataset into two parts (e.g. a 67%/33% train/test split), train on the training set and evaluate on the test set. This approach is fast, and is suitable if your model is very slow to train or you have a lot of data and a suitably large and representative train and test sets.

train/test split.

Often we don’t have enough data for the train and test sets to be representative. There are statistical methods called resampling methods that allow us to economically reuse the one dataset and split it multiple times. We can use the multiple splits to train and evaluate multiple models, then calculate the average performance across each model to get a more robust estimate of the skill of the model on unseen data.
Two popular statistical resampling methods are:

k-fold cross-validation.
bootstrap.

I have tutorials on how to create train/test splits and use resampling methods for a suite of machine learning platforms on the blog. Use the search feature. Here are some tutorials that may help to get started:

How To Estimate The Performance of Machine Learning Algorithms in Weka (Weka)
Evaluate the Performance of Machine Learning Algorithms in Python using Resampling (Python)
How to Evaluate Machine Learning Algorithms with R (R)

I have tutorials on how resampling methods work on the blog. Use the search feature. Here is a good place to get started:

How To Create an Algorithm Test Harness From Scratch With Python

"
aHow do I get a job without a degree?,"I teach a top-down and results-first approach to machine learning.
This means that you very quickly learn how to work through predictive modeling problems and deliver results.
As part of this process, I teach a method of developing a portfolio of completed projects. This demonstrates your skill and gives you a platform from which to take on ever more challenging projects.
It is this ability to deliver results and the projects that demonstrate that you can deliver results is what will get you a position.
Business use credentials as a shortcut for hiring, they want results more than anything else. Smaller companies are more likely to value results above credentials. Perhaps focus your attention on smaller companies and start-ups seeking developers with skills in machine learning.
Here’s more information on the portfolio approach:

Build a Machine Learning Portfolio

Here’s more information on why you don’t need a degree:

What if I Don’t Have a Degree?

"
aHow do I get started in machine learning?,"There are many ways to get started in machine learning.
You need to find the one way that works best for your preferred learning style.
I teach a top-down and results-first approach to machine learning.
The core of my approach is to get you to focus on the end-to-end process of working through a predictive modeling problem. In this context everything (or most things) starts to make sense.
My best advice for getting started is broken down into a 5-step process:

How to get started in applied machine learning

I’m here to help and answer your questions along the way.
"
aHow do I get started with Python programming?,"I focus on teaching machine learning, not programming.
My code tutorials generally assume that you already know some Python programming.
If you don’t know how to code, I recommend getting started with the Weka machine learning workbench. It allows you to learn and practice applied machine learning without writing a line of code. You can learn more here:

How to Get Started With Weka

If you know how to program in another language, then you will be able to pick-up programming Python very quickly.
I have a Python programming tutorial that might help:

Crash Course in Python for Machine Learning Developers

Working with NumPy arrays are a big part of machine learning programming in Python. You can get started with NumPy arrays here:

A Gentle Introduction to N-Dimensional Arrays in Python with NumPy
How to Index, Slice and Reshape NumPy Arrays for Machine Learning in Python

I think the best way to learn a programming language is by using it.
Three good books for learning Python include:

Learn Python 3 the Hard Way
Python Crash Course
Learning Python

"
aHow do I handle a large number of categories?,"You may have a predictive modeling problem where an input or output variable has a large number of levels or values (high cardinality), such as thousands, tens or hundreds of thousands.
This may introduce issues when using sparse representations such as a one hot encoding.
Some ideas for handling data with a large number of categories include:

Perhaps the variable can be removed?
Perhaps use the data as-is (some NLP problems have hundreds of thousands of words that are treated like categories).
Perhaps you can try an integer encoding?
Perhaps you can try using a hash of the categories?
Perhaps you can remove or group some levels? (e.g. in NLP you can remove all words with a low frequency)
Perhaps you can add some flag variables (boolean) to indicate a subset of important levels.
Perhaps you can use methods like trees that better lend themselves to many levels.

"
aHow do I handle an imbalance in classes?,"It is common to have a different number of observations for each class in a classification predictive modeling problem.
This is called a class imbalance.
There are many ways to handle this, from resampling the data to choosing alternate performance measures, to data generation and more.
I recommend trying a suite of approaches to see what works best for your project.
I list some ideas here:

8 Tactics to Combat Imbalanced Classes in Your Machine Learning Dataset

"
